ALLIANCE CHAMPIONSHIP ,,,,,,,,,,,,,
01/09/2022 - RESULTS,,,,,,,,,,,,,
,,,,,RF,RF ,,TOTAL ,TOTAL,RF HERO,FLAG,TOTAL ,TOTAL 
ROUND ,OPPONENET,SERVER,JOINED,STRENGTH,HEROES,STRENGTH,RESULT,STRENGTH,MEMBERS,RECOMMENDATION,RECOMMENDATION,MEMBERS,STRENGTH
,,,MEMBERS,BILLION,,BILLION,,BILLION,,,,,
,,,,,,,,,,,,,
1,WOE THE FOES,363,,,,,,,,,,40,231
2,MARIJUANA,346,,,,,,,,,,39,96.3
3,THE UNDECIDED,415,,,,,,,,,,39,156
4,WILLOWGLADES,337,,,,,,,,,,39,42.6
5,LIGHT EMPIRE,403,,,,,,,,,,34,33.9
6,ROLLING THUNDER,476,,,,,,,,,,19,17.8
7,ODIN'S WRATH,487,,,,,,,,,,40,140
8,CELESTIAL DRAGONS,409,,,,,,,,,,43,291
9,THE LEGION,340,,,,,,,,,,43,204
10,THE UNDECIDED,415,,,,,,,,,,39,156
11,RAG TAGS,462,,,,,,,,,,39,186
12,UNICUS,386,,,,,,,,,,8,3.74
13,VERY MFN WICKED,397,,,,,,,,,,40,118
14,ODIN'S WRATH,487,,,,,,,,,,40,140
15,LIGHT EMPIRE,403,,,,,,,,,,34,33.9
16,RED RIBBON ARMY,431,,,,,,,,,,40,70.2
17,HAPPY ENDINGS,415,,,,,,,,,,27,20.5
18,CAMELOT,338,,,,,,,,,,43,169
19,THE ICE BOX,356,,,,,,,,,,40,265
20,BLACK SAILS,523,,,,,,,,,,37,37.2
21,KL UNDERWAY,392,,,,,,,,,,20,31.5
22,BLACK SAILS,523,,,,,,,,,,37,37.2
23,RUINED PIRATES,503,,,,,,,,,,39,187
24,LEGACY,375,,,,,,,,,,40,98.9
25,VERY MFN WICKED,397,,,,,,,,,,40,118
TOP 32,,,,,,,,,,,,,
TOP 16,,,,,,,,,,,,,
TOP 8,,,,,,,,,,,,,
TOP 4,,,,,,,,,,,,,